country_code,rome-1960,tokyo-1964,mexico-city-1968,munich-1972,montreal-1976,moscow-1980,los-angeles-1984,seoul-1988,barcelona-1992,atlanta-1996,sydney-2000,athens-2004,beijing-2008,london-2012,rio-2016,tokyo-2020,paris-2024
CG,0,2,0,6,0,0,9,7,7,5,5,5,5,7,10,3,1
CH,149,66,85,151,50,73,129,99,102,115,102,98,83,102,104,107,106
CI,0,9,10,11,8,0,15,28,13,11,14,5,21,10,12,28,10
CK,0,0,0,0,0,0,0,7,2,3,2,3,4,8,9,6,0
CL,9,14,21,11,7,0,52,17,12,21,50,22,26,35,42,58,38
CM,0,1,5,11,4,25,46,15,8,15,34,17,32,33,24,12,3
CN,0,0,0,0,0,0,215,273,244,294,271,383,599,390,413,406,376
CO,16,20,43,59,35,23,39,40,49,48,44,53,67,104,147,70,82
CR,0,2,18,3,5,29,28,16,16,11,7,20,8,11,10,14,5
CS,116,104,121,181,163,208,0,163,208,0,0,0,0,0,0,0,0
CU,12,27,115,137,156,208,0,0,176,164,229,151,158,110,120,70,54
CV,0,0,0,0,0,0,0,0,0,3,2,3,2,3,5,6,5
CY,0,0,0,0,0,14,10,9,17,17,22,20,17,13,16,15,12
CZ,0,0,0,0,0,0,0,0,0,115,119,142,134,133,105,115,111
DD,0,0,226,297,267,346,0,259,0,0,0,0,0,0,0,0,0
